"fecha","puesto","puntos","nombre","id","club","federacion"
"2024-02-12 09:03:33.412803","48","22.5","FERNANDEZ GONZALEZ, SERGIO","3002852","GIMNASIO LINO","AST"
"2024-02-12 09:03:33.413162","49","20.0","MARTINEZ SUAREZ, ANDRES","3004941","REAL GRUPO DE CULTURA COVADONGA","AST"
"2024-02-12 09:03:33.413528","50","17.5","VALLEJO RODRÍGUEZ, ANTONIO JESÚS","1005490","C.D. WADOKAN","AND"
"2024-02-12 09:03:33.413873","51","15.0","AVILA HOZ, DANIEL","6005288","CLUB KIME","CNT"
"2024-02-12 09:03:33.414212","51","15.0","LIRIO MEDINA, UNAI","13004646","TOT ESPORT CALVIA","BAL"
"2024-02-12 09:03:33.414581","51","15.0","CERVERA FERRER, FRANCISCO","4008139","CLUB J.VIDAL","VAL"
"2024-02-12 09:03:33.414915","51","15.0","VALCARCEL LINARES, DAVID","15001554","TSUKURI","MAD"
"2024-02-12 09:03:33.415254","51","15.0","NAVAS DELGADO, ALBERTO","7005338","SAKATA","CLM"
"2024-02-12 09:03:33.415616","51","15.0","ALVAREZ MARTÍNEZ, ANDRÉS","8005385","MASTER 10","CAL"
"2024-02-12 09:03:33.415953","51","15.0","REVUELTA GARCÍA, IVÁN","1005879","KARATE KIME-CESAR MARTINEZ","AND"
